Formula,Volume,Density,IDs,Uncorrected EPA,EPA,Formation EPA,Equilibrium Reaction EPA,Atomic Density,Bulk Modulus,Shear Modulus,Sound Velocity,Thermal Conductivity,Debye Temperature (K)
Th8 S20,600.8505821132239,6.902497794315345,mp-1666,-28.720915087857144,-28.720915087857144,-1.989385025580357,-0.030978961116083,21.392648233005847,96.675,47.098,30.69714815079744,0.653070652252086,6803.301640200233
V8 C4,130.0750951404071,5.815869313021264,mp-20648,-13.248028600833337,-13.248028600833337,-0.5392330508333341,-0.073313547500001,10.964799144219391,244.406,119.66,143.32231719645918,1.783009632227848,52899.57131662012
Na12 P44,1275.9125150296695,2.132719236618186,mp-473,-8.13539176482143,-8.13539176482143,-0.298578826088434,-0.034111473363097,23.7822766639895,13.739,6.665,2.7838249160104933,0.421554865557434,479.99695624528397
Mn8 N4,120.29446764016484,6.840288395544703,mp-9981,-13.26729012,-13.26729012,-0.435483445905172,-0.189069338124998,9.82097812756774,198.001,98.928,93.67832464144406,1.581008003309386,35489.102755087784
Fe4 P4,90.58386212379064,6.366076377677599,mp-1005,-12.10395031625,-12.10395031625,-0.396217840238094,-0.045016643749999,11.33377110254034,207.432,133.593,166.26705482479417,1.714621260625935,69235.19143038985
Hf4 Si4,135.0734256466118,10.158228734914385,mp-1042,-27.81785230375,-27.81785230375,-0.8552623112500011,-0.151684061250001,17.180695326739006,151.342,95.833,93.1671922164258,0.8797045395054051,33958.20722858097
Sr8 Si4,400.7831001280795,3.369702328763821,mp-1106,-13.454768615,-13.454768615,-0.433073036666667,-0.081841624999999,33.56168303220998,,,,,
Th4 S8,271.24320042905623,7.252511898079785,mp-1146,-32.13258594333333,-32.13258594333333,-2.284807075208329,-0.132434508787874,22.565141037227743,90.46,33.237,27.2935241886322,0.5259826375240231,7885.264786415149
Ba8 Si16,713.4763881255375,3.602765211076297,mp-1477,-15.093601540416666,-15.093601540416666,-0.4112299487499999,-0.054436808194443,29.56672223110246,31.472,18.639,11.572464320422302,0.451030730465265,2421.984902080545
Zr4 P8,202.1997789609287,5.031603914802798,mp-1523,-14.652556681666669,-14.652556681666669,-1.067908505317461,-0.037428453492063,16.89499904447472,126.441,83.188,91.2702895550648,1.165056591000617,29080.829328806907
