Formula,Volume,Density,Uncorrected EPA,EPA,Formation EPA,Equilibrium Reaction EPA,Atomic Density,Bulk Modulus,Shear Modulus,Sound Velocity,Thermal Conductivity,Debye Temperature,O,N,C,B,Si,Al,Mg,Zr,Ti,Ca,Y,Hf,Fe,Na,K,Ba,Sr,Li,Be,Mn,V,Cr,Nb,Mo,W,Re,Sc,La,Ce,Th,U,Tm,Elements
Li2 Ti4 N6,133.92080045595733,3.588268078046691,-10.859376400833334,-10.859376400833334,-1.584630991875,-0.087439054895837,11.33447518060612,134.345,71.603,82.96239678890304,1.710409480246452,664.3009152364674,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,978.99357428495,"['Li', 'Ti', 'N']"
Mg2 Ti4 O10,182.085469745022,3.648479954557847,-10.75909263625,-10.75909263625,-3.270656902760416,-0.001151258124998,11.677056356551972,162.509,72.047,83.08076243410771,1.698272918197382,660.3893344925323,10,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,981.6526936149501,"['Mg', 'Ti', 'O']"
Al2 B2 Mo2,69.33408515880396,6.405741263406688,-13.870375595,-13.870375595,-0.486898272500001,-0.056419686249997,11.747680282236026,211.148,134.6,188.6599549460873,1.689774642727793,671.0106121569954,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1358.4504379999998,"['Al', 'B', 'Mo']"
Ca6 Cr2 N6,217.52289261538635,3.271111590566982,-10.177573779285714,-10.177573779285714,-1.095505850178572,-0.045430666428574,15.66904238405372,85.654,51.84,53.736782153511385,1.211627448420711,527.9445423156002,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,860.85246208,"['Ca', 'Cr', 'N']"
Ca6 V2 N6,223.28566599546207,3.171001788614909,-10.209085817142858,-10.209085817142858,-1.267555982321429,-0.039306752195768,16.135379195803957,87.062,50.486,53.93479627814288,1.197024847915463,525.3969656182203,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,852.7741199078,"['Ca', 'V', 'N']"
Li8 Ti2 O8,176.6800354881907,2.624617374543152,-7.766410168333333,-7.766410168333333,-2.613663804814815,-1.8505833331516893e-05,10.298172985765216,79.937,43.617,39.92429473359774,1.6881523566989332,635.8187304012866,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,811.82281347895,"['Li', 'Ti', 'O']"
Ca8 Nb4 N12,377.2048929874288,3.787361910940083,-12.299592108333334,-12.299592108333334,-1.2667730977083331,-0.076523200763888,15.93456633696982,81.221,41.117,32.219081328317664,1.008240354792068,437.5314965505142,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,796.9313042289499,"['Ca', 'Nb', 'N']"
Mg8 B16 C16,380.087796892242,2.444741493058221,-7.97980580325,-7.97980580325,-0.228509331249999,-0.122966535249998,9.636529996825423,157.751,104.546,104.0319731056984,2.73810561720199,1020.3645673606338,0,0,16,16,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176.8782863638,"['Mg', 'B', 'C']"
U2 Re2 B8,124.11314283629795,12.509048385215474,-27.53849468583333,-27.53849468583333,-0.5821499987500021,-0.03907413569442,10.277539173500882,276.868,213.715,189.6761003896231,1.617230103644173,622.4268314983511,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1841.17640567375,"['U', 'Re', 'B']"
Y2 B3 C2,84.69867257350296,4.592846614401562,-12.402936,-12.402936,-0.60854530107143,-0.013299766696423,12.178180126370306,149.778,37.797,50.08614038103688,1.086382600398263,420.6488485745082,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777.1660072649499,"['Y', 'B', 'C']"
